employee_number,last_name,city
11111,"John Palmer",SURABAYA
11111,"John Palmer",SIDOARJO
11111,"John Palmer",JAKARTA
11111,"John Palmer",BEKASI
11111,"John Palmer",BANDUNG
11111,"John Palmer",JAKARTA
11112,"Selma Blair",SURABAYA
11112,"Selma Blair",SIDOARJO
11112,"Selma Blair",JAKARTA
11112,"Selma Blair",BEKASI
11112,"Selma Blair",BANDUNG
11112,"Selma Blair",JAKARTA
11113,"Bernard Wang",SURABAYA
11113,"Bernard Wang",SIDOARJO
11113,"Bernard Wang",JAKARTA
11113,"Bernard Wang",BEKASI
11113,"Bernard Wang",BANDUNG
11113,"Bernard Wang",JAKARTA
11114,"Christian Joll",SURABAYA
11114,"Christian Joll",SIDOARJO
11114,"Christian Joll",JAKARTA
11114,"Christian Joll",BEKASI
11114,"Christian Joll",BANDUNG
11114,"Christian Joll",JAKARTA
11115,"Alex Nirmo",SURABAYA
11115,"Alex Nirmo",SIDOARJO
11115,"Alex Nirmo",JAKARTA
11115,"Alex Nirmo",BEKASI
11115,"Alex Nirmo",BANDUNG
11115,"Alex Nirmo",JAKARTA
11116,"Cathy Smith",SURABAYA
11116,"Cathy Smith",SIDOARJO
11116,"Cathy Smith",JAKARTA
11116,"Cathy Smith",BEKASI
11116,"Cathy Smith",BANDUNG
11116,"Cathy Smith",JAKARTA
11117,"Derek Vaila",SURABAYA
11117,"Derek Vaila",SIDOARJO
11117,"Derek Vaila",JAKARTA
11117,"Derek Vaila",BEKASI
11117,"Derek Vaila",BANDUNG
11117,"Derek Vaila",JAKARTA
